mode,val_acc,test_acc,lat_mean_ms,lat_p50_ms,lat_p90_ms,size_bytes
fp32,86.44,87.19,2361.22,2207.37,2871.65,82088
int8-qsim,87.06,87.87,6316.40,6647.87,7170.08,20522
